Number,Filename,edited,Type of text,Description,Number of words,Link,owner,retrieval date,type of language,idioms,lexical ambiguity,syntactic ambiguity,metaphores + figurative language,unique unknown words,total unknown words
1,Mijn Heer Zak met Rijst,,Fairy tale,Hidesato helps the dragon king by killing a monster ,826,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,October 6,Old spelling,0,0,0,0,2,2
2,De Spiegel van Matsuyama,,Fairy tale,A girl gets a magic mirror in which she can see her deceased mother,801,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,October 6,Old spelling,0,0,0,0,0,0
3,De Witte Haas van Inaba,,Fairy tale,"81 brothers all want to marry the same princess, the one who helped the rabbit won",857,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,October 6,Old spelling,0,0,0,0,1,1
4,Kadzutoyo en de Das,,Fairy tale,"Kadzutoyo kills a helpless girl, that does not seem to be human after all",799,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,October 6,,,,,,,
5,Het Dooden van de Zeeslang,,Fairy tale,"A girl volunteers to sacrifice herself to the serpent god, then kills it",797,https://www.gutenberg.org/cache/epub/16043/pg16043-images.html#ch23,Laura,October 6,,,,,,,
6,Val van de Republiek,,History,History about the fall of the Roman Republic,893,https://nl.wikipedia.org/wiki/Romeinse_Rijk,Laura,October 6,,,,,,,
7,Het winterkoninkje en de beer,,Fairy tale ,Een verhaal over een beer die ruzie krijgt met de kinderen van de koning van alle vogels (winterkoninkje),891,https://www.grimmstories.com/nl/grimm_sprookjes/het_winterkoninkje_en_de_beer,Lenneke,October 6,,,,,,,
8,De zeven raven,,Fairy tale ,A story about seven sons turned into ravens by their father,863,https://www.grimmstories.com/nl/grimm_sprookjes/de_zeven_raven,Lenneke,October 6,Modern,0,0,0,0,0,0
9,Slimme Hans,,Fairy tale ,A story about Hans who takes something to Gretel every day,815,https://www.grimmstories.com/nl/grimm_sprookjes/slimme_hans,Lenneke,October 6,,,,,,,
10,De drie talen,,Fairy tale ,A story about a son who learned to speak the language of three animals,906,https://www.grimmstories.com/nl/grimm_sprookjes/de_drie_talen,Lenneke,October 6,Modern,0,0,0,0,0,0
11,De oude sultan,,Fairy tale ,"A story about an old dog who, with the help of a wolf, was still able to prove to his master that he is useful",849,https://www.grimmstories.com/nl/grimm_sprookjes/de_oude_sultan,Lenneke,October 6,Modern,1?,0,0,0,0,0
