"","X","story_name","document_id","word","word_n","paragraph_n","lp","wl","s_lp","s_lp1","s_lp2","s_lp3","s_wl","s_wl1","s_wl2","s_wl3","number_word","word_rm_punct","pos","lp_quantile"
"1",1,"mijn heer zak met rijst",1,"Op",0,0,NA,2,NA,NA,NA,NA,-1.0343949469528,NA,NA,NA,1,"op","ADP",NA
"2",2,"mijn heer zak met rijst",1,"een",1,0,-7.21320152282715,3,-0.487982962551945,NA,NA,NA,-0.713901874399868,-1.0343949469528,NA,NA,2,"een","DET","low_lp"
"3",3,"mijn heer zak met rijst",1,"zekere",2,0,-8.90047168731689,6,-0.892432284247893,-0.487982962551945,NA,NA,0.247577343258918,-0.713901874399868,-1.0343949469528,NA,3,"zekere","ADJ","low_lp"
"4",4,"mijn heer zak met rijst",1,"dag",3,0,-3.44432759284973,3,0.415439937122152,-0.892432284247893,-0.487982962551945,NA,-0.713901874399868,0.247577343258918,-0.713901874399868,-1.0343949469528,4,"dag","NOUN","med_lp"
"5",5,"mijn heer zak met rijst",1,"kwam",4,0,-4.80064392089844,4,0.0903223415945059,0.415439937122152,-0.892432284247893,-0.487982962551945,-0.393408801846939,-0.713901874399868,0.247577343258918,-0.713901874399868,5,"kwam","VERB","med_lp"
"6",6,"mijn heer zak met rijst",1,"de",5,0,-2.4314296245575,2,0.658237981469062,0.0903223415945059,0.415439937122152,-0.892432284247893,-1.0343949469528,-0.393408801846939,-0.713901874399868,0.247577343258918,6,"de","DET","med_lp"
"7",7,"mijn heer zak met rijst",1,"grote",6,0,-5.40400695800781,5,-0.0543075915549911,0.658237981469062,0.0903223415945059,0.415439937122152,-0.0729157292940105,-1.0343949469528,-0.393408801846939,-0.713901874399868,7,"grote","ADJ","med_lp"
"8",8,"mijn heer zak met rijst",1,"Hidesato",7,0,-31.0055050849915,8,-6.19114848981744,-0.0543075915549911,0.658237981469062,0.0903223415945059,0.888563488364776,-0.0729157292940105,-1.0343949469528,-0.393408801846939,8,"hidesato","PROPN","low_lp"
"9",9,"mijn heer zak met rijst",1,"bij",8,0,-5.99855995178223,3,-0.196825701639087,-6.19114848981744,-0.0543075915549911,0.658237981469062,-0.713901874399868,0.888563488364776,-0.0729157292940105,-1.0343949469528,9,"bij","ADP","med_lp"
"10",10,"mijn heer zak met rijst",1,"een",9,0,-3.61981344223022,3,0.373374869984169,-0.196825701639087,-6.19114848981744,-0.0543075915549911,-0.713901874399868,-0.713901874399868,0.888563488364776,-0.0729157292940105,10,"een","DET","med_lp"
"11",11,"mijn heer zak met rijst",1,"brug,",10,0,-8.21374475955963,5,-0.727819499664126,0.373374869984169,-0.196825701639087,-6.19114848981744,-0.0729157292940105,-0.713901874399868,-0.713901874399868,0.888563488364776,11,"brug","NOUN","low_lp"
"12",12,"mijn heer zak met rijst",1,"die",11,0,-2.62844347953796,3,0.611012515335339,-0.727819499664126,0.373374869984169,-0.196825701639087,-0.713901874399868,-0.0729157292940105,-0.713901874399868,-0.713901874399868,12,"die","PRON","med_lp"
