,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,type_token_ratio,dependency_depth_mean,dependency_depth_std,file_name,n_tokens_once_in_courpus,Number,Filename,edited,Type of text,Description,Number of words,Link,owner,retrieval date,Link text Google docs,type of language,idioms,lexical ambiguity,syntactic ambiguity,metaphores + figurative language,unique unknown words,total unknown words,Unnamed: 17,Notes/Comments,Check Laura?,Check Lenneke?,"Lenneke's rating (e.g. is the text ""good"" --> interesting/informative and well written). 1 = very bad, 5 = very good",text_type
0,1153,430,0.37294015611448394,5238,63,4.451864700780573,4.0,2.626104606460019,18.3015873015873,18.0,8.998474157489888,3.0570706023908256,1.028082018120394,0.3762688474915355,0.10024765506626673,0.37294015611448394,4.714285714285714,1.557659736552012,10_rillington_place,92,60,10 Rillington Place,,Synopsis Movie,"A synopsis of a movie based on the book ""Ten Rillington Place""",1062,https://nl.wikipedia.org/wiki/10_Rillington_Place,Lenneke,2023-10-17,10 Rillington Place,Modern,0,0,0,3,0,0,,,Yes,Yes,3,synopsis movie
1,963,355,0.36863966770508827,4573,65,4.6313603322949115,4.0,2.9849280302475854,14.815384615384616,13.0,8.005560197939944,2.668126804158111,1.0257003043059871,0.3802997604808343,0.09491993894048294,0.36863966770508827,4.461538461538462,1.598816130063579,archibald_strohalm,74,73,Archibald Strohalm,,Synopsis Novelle,"A synopsis and analysis of the Novel ""archibald strohalm"" by Harry Mulisch",882,https://nl.wikipedia.org/wiki/Archibald_strohalm,Laura,2023-10-22,Archibald Strohalm,Modern,0,0,0,3,1,1,,"Laura: The same figurative language is used twice, I counted it as one. Lenneke: this is not really a synopsis, more an informative text about the story (background, symolism, trivia). ",Yes,Yes,1,synopsis novelle
2,974,405,0.41581108829568786,4918,40,5.146817248459959,4.0,3.121759943893833,24.35,21.5,14.877079686551388,3.3606684602188546,1.2866410927855834,0.3555967678440822,0.09923317664873273,0.41581108829568786,5.35,1.943579172557681,artistieke_talen,116,39,Artistieke talen,,Technical text,A technical/informative text about fictional languages,882,https://nl.wikipedia.org/wiki/Kunsttaal,Laura,2023-10-09,Artistieke talen,Modern ,0,0,0,1,0,0,,,Yes,Yes,3,technical text
3,956,386,0.40376569037656906,4871,49,4.981171548117155,4.0,3.14530617408389,19.510204081632654,21.0,11.06220343585806,3.0947419487010412,1.3944330210272595,0.3601623650871262,0.1239515204103899,0.40376569037656906,4.653061224489796,1.8356005568790903,aspasia,87,58,Aspasia,,History,History of Aspasia,881,https://nl.wikipedia.org/wiki/Aspasia,Laura,2023-10-10,Aspasia ,Modern,0,0,3,0,0,0,,,Yes,Yes,4,history
4,1177,516,0.43840271877655057,6372,48,5.288870008496176,4.0,3.5736912984015956,24.520833333333332,23.0,14.747866488825503,3.408240061113925,1.2801707394552087,0.36824265102073855,0.10760057142118025,0.43840271877655057,5.375,1.943203969393503,atonaliteit,181,32,Atonaliteit,,Technical text,A technical/informative text the musical phenomenon of atonality,1072 (but some paragraphs can be cut easily),https://nl.wikipedia.org/wiki/Atonaliteit#cite_ref-1,Lenneke,2023-10-09,Atonaliteit,Modern,0,0,0,0,2,2,,,Yes,Yes,3,technical text
5,937,413,0.4407684098185699,4293,52,4.416221985058698,4.0,2.5489180800261533,18.01923076923077,18.0,11.282202431971177,3.007698265353685,1.477507280310092,0.32473271172862284,0.1378463067945342,0.4407684098185699,4.461538461538462,2.0518428720537134,basiliscus_van_utrecht,92,50,Basiliscus van Utrecht,,Fairy Tale,An excerpt from a fairy tale. Utrecht is being plagued by a monster,864,https://www.gutenberg.org/cache/epub/3455/pg3455-images.html,Laura,2023-10-09,Basiliscus van Utrecht,Old spelling,0,0,0,2,2,2,,,Yes,Yes,4,fairy tale
6,929,406,0.4370290635091496,4724,52,4.953713670613563,4.0,3.2951361369885492,17.865384615384617,17.5,8.4694674388786,3.078503163183733,1.0411198404899802,0.387599367941425,0.07935972130854226,0.4370290635091496,4.961538461538462,1.5561483326264547,begin_van_de_roemeense_revolutie,101,43,Begin van de Roemeense revolutie,,History,History of the beginning of the Romanian revolution,844,https://nl.wikipedia.org/wiki/Roemeense_Revolutie,Laura,2023-10-09,Begin van de Roemeense revolutie,Modern,2,0,0,3,1,1,,,Yes,Yes,4,history
7,1043,399,0.3825503355704698,4966,66,4.652924256951103,4.0,2.7047698680895778,15.803030303030303,17.0,7.773731401854107,2.8257821217056827,1.0716736774556928,0.37872307076761774,0.11817553222304607,0.3825503355704698,4.621212121212121,1.7474236578039901,big_fish,72,61,Big Fish,,Synopsis Movie,"A synopsis of a movie based on the book ""Big Fish""",958,https://nl.wikipedia.org/wiki/Big_Fish,Lenneke,2023-10-17,Big Fish,Modern,0,0,0,5,0,0,,Lenneke: The synopsis is not very well written (probalby through bad translation). The story is sometimes hard to follow. ,Yes,Yes,3,synopsis movie
8,887,381,0.4295377677564825,4113,50,4.554678692220969,4.0,2.8286459613305475,17.74,17.0,8.613501030359258,3.0607119961949274,1.1594965760861604,0.3742478221126525,0.1016987020908247,0.4295377677564825,4.98,1.7491712323268984,carrie,70,77,Carrie,,Synopsis roman,"A synopsis of the book ""Carrie""",815,https://nl.wikipedia.org/wiki/Carrie_(roman),Lenneke,2023-10-23,Carrie,Modern,3,0,1,6,1,3,,,Yes,Yes,5,synopsis roman
9,972,446,0.4588477366255144,4992,44,5.025720164609053,4.0,3.2735938450627766,22.09090909090909,19.0,17.619485832218132,3.216837821011556,1.5343317797355633,0.40460012345275886,0.11401414670549408,0.4588477366255144,4.954545454545454,1.8702764192219077,dadaïsme,144,31,Dadaïsme,,Technical text,A technical/informative text about the dadaism cultural movement,877,https://nl.wikipedia.org/wiki/Dadaïsme#cite_ref-2,Lenneke,2023-10-09,Dadaïsme,Modern,1,0,0,0,0,0,,,Yes,Yes,3,technical text
10,971,475,0.48918640576725025,4750,41,4.7693099897013385,4.0,3.0509449562975512,23.682926829268293,23.0,10.857028799837446,3.667601845654328,0.9515322054168582,0.3663082182188966,0.06704629072147314,0.48918640576725025,5.658536585365853,1.5712315520396494,darwin,135,46,Darwin,,Journal entry,An excerpt of Darwin's journal,892,https://www.gutenberg.org/cache/epub/33764/pg33764-images.html,Laura,2023-10-09,Darwin,Old spelling,0,0,0,0,2,2,,,Yes,Yes,3,journal entry
11,952,384,0.40336134453781514,4299,63,4.531512605042017,4.0,2.9055609211730244,15.11111111111111,13.0,10.96619786392845,2.714325302380106,1.2954055608350363,0.41354775063743,0.0971818805419103,0.40336134453781514,4.285714285714286,1.4630753805464016,debet,102,75,Debet,,Synopsis Novelle,"A synopsis of the book ""Debet"" by Saskia Noort",864,https://nl.wikipedia.org/wiki/Debet_(roman),Laura,2023-10-22,Debet,Modern,0,0,1,4,0,0,,"Lenneke: Due to the writing style, it is sometimes a bit hard to follow the story.",Yes,Yes,1,synopsis novelle
12,898,373,0.4153674832962138,4272,23,4.674832962138084,4.0,2.843946257809724,39.04347826086956,28.0,32.15381275771542,4.1465894185842505,1.7019561303716093,0.37379503804004427,0.053138461749323615,0.4153674832962138,6.043478260869565,1.9219161830695952,de_chinese_filosofie,88,54,De Chinese Filosofie,,Technical text,A short comparison between Plato and Confuscius' philosophy,830,https://www.gutenberg.org/cache/epub/64781/pg64781-images.html,Laura,2023-10-10,De Chinese Filosofie,Old spelling,0,0,0,0,2,2,,,Yes,Yes,2,technical text
13,915,320,0.34972677595628415,3842,54,3.955191256830601,3.0,2.2218888340201066,16.944444444444443,14.0,13.555669398429066,3.1381913982030483,1.810335901283925,0.33219134025259944,0.15394682911956722,0.34972677595628415,4.111111111111111,2.006163342807532,de_drie_spinsters,52,14,De drie spinsters,,Fairy tale,"A girl is forced to spin, gets 3 other women to do it and gets away with it",861,https://www.grimmstories.com/nl/grimm_sprookjes/de_drie_spinsters,Laura,2023-10-06,De drie spinsters,Modern,2,0,0,1,1,1,,Lenneke: maybe a too well known fairy tale. ,Yes,Yes,5,fairy tale
14,975,339,0.3476923076923077,4003,63,3.92,3.0,2.1931735582051544,15.476190476190476,14.0,9.792866115564413,2.979472993036214,1.107424473644866,0.37115969850250413,0.09499118047825215,0.3476923076923077,4.095238095238095,1.4222080498160075,de_drie_talen,54,10,De drie talen,,Fairy tale ,A story about a son who learned to speak the language of three animals,906,https://www.grimmstories.com/nl/grimm_sprookjes/de_drie_talen,Lenneke,2023-10-06,De drie talen,Modern,0,0,0,0,0,0,,,Yes,Yes,3,fairy tale
15,858,428,0.4988344988344988,4705,56,5.362470862470863,4.0,3.2955206516878515,15.321428571428571,14.0,9.012109200675388,2.6677526766164767,1.1599452815422904,0.38900733134531024,0.12829750279941218,0.4988344988344988,4.375,1.6098192001410772,de_eerste_opiumoorlog,125,42,De eerste opiumoorlog,,History,History of the first poppy war,855,https://nl.wikipedia.org/wiki/Eerste_Opiumoorlog,Laura,2023-10-09,De eerste opiumoorlog,Modern,0,0,0,1,2,2,,,Yes,Yes,4,history
16,971,367,0.3779608650875386,4060,42,4.049433573635428,4.0,2.2204988232751495,23.11904761904762,20.0,14.517973066172612,3.6490923027925932,1.6583784669857302,0.3635766868769769,0.09413325946261424,0.3779608650875386,5.428571428571429,2.1618208500602223,de_engel,65,20,De Engel,,Fairy tale,A story about an angel who flies to heaven with a dead child,894,https://www.andersenstories.com/nl/andersen_sprookjes/de_engel,Lenneke,2023-10-06,De engel,Modern,0,0,0,0,0,0,,,Yes,Yes,3,fairy tale
17,1029,403,0.391642371234208,4712,65,4.469387755102041,4.0,2.6810144349977656,15.830769230769231,16.0,8.295632272039269,2.862314967891037,1.1490549633657627,0.3443952236394899,0.1314005932381209,0.391642371234208,4.384615384615385,1.724861713006026,de_erfpachters,89,69,De erfpachters,,Synopsis Novelle,"A synopsis of the novelle (legal thriller) ""De erfpachters""",946,https://nl.wikipedia.org/wiki/De_erfpachters,Lenneke,2023-10-17,De erfpachters,Modern,1,0,0,1,0,0,,Lenneke: The synopsis is not very well written (probalby through bad translation). The story is sometimes hard to follow. ,Yes,Yes,3,synopsis novelle
18,1099,443,0.4030937215650591,5640,51,5.030937215650591,4.0,3.427787234830703,21.54901960784314,22.0,11.920181807881491,3.1696101995090618,1.3647870959059722,0.346062126748076,0.12403333706800408,0.4030937215650591,4.980392156862745,1.985142816795744,de_geldmakers,100,68,De geldmakers,,Synopsis financial thriller (book),"A synopsis of the financial thriller (book) ""De geldmakers""",1001,https://nl.wikipedia.org/wiki/De_geldmakers,Lenneke,2023-10-17,De geldmakers,Modern,4,0,0,4,0,0,,Lenneke: The synopsis is not very well written and sometimes hard to follow.  ,Yes,Yes,4,synopsis financial thriller (book)
19,982,378,0.384928716904277,4101,52,4.0285132382892055,3.0,2.2517704347835457,18.884615384615383,17.5,10.343436875165455,3.2919756573108936,1.2765426997021234,0.3546386620095806,0.09774693387951736,0.384928716904277,4.615384615384615,1.4564689406739606,de_geschenken_van_het_kleine_volkje,59,18,De geschenken van het kleine volkje,,Fairy tale,A story about a goldsmith and a tailor who came across a group of small males and females,918,https://www.grimmstories.com/nl/grimm_sprookjes/de_geschenken_van_het_kleine_volkje,Lenneke,2023-10-06,De geschenken van het kleine volkje,Modern,0,0,0,0,0,0,,,Yes,Yes,2,fairy tale
20,1169,458,0.3917878528656972,5463,93,4.58169375534645,4.0,2.894265627282647,12.56989247311828,12.0,5.3629510602334864,2.7080405491341164,0.742019010196339,0.38354825388682445,0.07770034256266427,0.3917878528656972,4.290322580645161,1.1965959349026714,de_ijsdragers,120,59,De ijsdragers,,Synopsis Novelle,A synopsis of a psychological novella in which love plays a meaningful role.,1073,https://nl.wikipedia.org/wiki/De_ijsdragers,Lenneke,2023-10-17,De ijsdragers,Modern,0,0,0,3,0,0,,Lenneke: The synopsis is not very well written. The story is sometimes hard to follow. ,Yes,Yes,3,synopsis novelle
21,995,374,0.3758793969849246,4899,56,4.841206030150754,4.0,3.159242729815689,17.767857142857142,18.0,7.201168237139849,2.799511004454181,0.8631875774134601,0.37359392991313267,0.07953467058889056,0.3758793969849246,4.821428571428571,1.3901071754306116,de_kilimanjaro,117,57,De Kilimanjaro,,Technical text,A technical/informative text about mount Kilimanjaro,916,https://nl.wikipedia.org/wiki/Kilimanjaro_(berg),Laura,2023-10-10,De Kilimanjaro,Modern,0,0,0,0,1,1,,,Yes,Yes,3,technical text
22,879,308,0.3503981797497156,3711,43,4.065984072810012,3.0,2.353361047135853,20.441860465116278,15.0,19.509451884092982,3.0586567906787687,1.5188280820417233,0.37107655461517886,0.08326272469431295,0.3503981797497156,4.813953488372093,1.9199783665628183,de_mooiste_roos_van_de_wereld,61,23,De mooiste roos van de wereld,,Fairy tale,A story about a quest for the most beautiful rose to save the queen from death,811,https://www.andersenstories.com/nl/andersen_sprookjes/de_mooiste_roos_van_de_wereld,Lenneke,2023-10-06,De mooiste roos van de wereld,Modern,0,0,0,1,0,0,,,Yes,Yes,3,fairy tale
23,867,266,0.30680507497116494,3379,40,3.6828143021914648,3.0,1.9384335740476086,21.675,21.0,14.123362736968842,3.395306494398608,1.3432573621276833,0.354406924045165,0.10678634540586493,0.30680507497116494,4.8,1.8867962264113207,de_oude_rinkrank,18,19,De oude Rinkrank,,Fairy tale,A story about a princess who fell into a glass mountain,815,https://www.grimmstories.com/nl/grimm_sprookjes/de_oude_rinkrank,Lenneke,2023-10-06,De oude Rinkrank,Modern,0,0,0,0,0,0,,,Yes,Yes,3,fairy tale
